SCF #,SCF AO #,"SCF Assessment Objective (AO)
In addition to relevant policies, standards and procedures, the assessor shall examine, interview, and/or test to determine if appropriately scoped evidence exists to support the claim that:","PPTDF
Applicability",SCF Assessment Objective (AO) Origin(s),Notes / Errata,"Assessment
Rigor (AR)",SCF Defined Parameters (SDP),Organization Defined Parameters (ODP),"CMMC Level 1
AOs","NIST
800-53A","NIST
800-171A","NIST
800-171A R3","NIST
800-172A","Asset Type
examine/interview/test",Assessment Procedure,Expected Result(s),"Assessment Status
met / not met / not tested / an","Inherited
y/n",Assessment Frequency,Last Date Assessed,Assessment Performed By
TDA-06,TDA-06_A06,"frequency at which to review the development process, standards, tools, tool options and tool configurations is defined.",Process,53A_R5_SA-15_ODP[01],,3,"at least every 12 months, or when there are significant
incidents or significant changes to risks",,,x,,,,,,,,,,,
TDA-06,TDA-06_A07,"the developer of the system, system component or system service is required to follow a documented development process that explicitly addresses security requirements.",Process,53A_R5_SA-15a.01[01],,3,,,,x,,,,,,,,,,,
TDA-06,TDA-06_A08,"the developer of the system, system component or system service is required to follow a documented development process that explicitly addresses privacy requirements.",Process,53A_R5_SA-15a.01[02],,3,,,,x,,,,,,,,,,,
TDA-06,TDA-06_A09,"the developer of the system, system component or system service is required to follow a documented development process that identifies the standards used in the development process.",Process,53A_R5_SA-15a.02[01],,3,,,,x,,,,,,,,,,,
TDA-06,TDA-06_A10,"the developer of the system, system component or system service is required to follow a documented development process that identifies the tools used in the development process.",Process,53A_R5_SA-15a.02[02],,3,,,,x,,,,,,,,,,,
TDA-06,TDA-06_A11,"the developer of the system, system component or system service is required to follow a documented development process that documents the specific tool used in the development process.",Process,53A_R5_SA-15a.03[01],,3,,,,x,,,,,,,,,,,
TDA-06,TDA-06_A12,"the developer of the system, system component or system service is required to follow a documented development process that documents the specific tool configurations used in the development process.",Process,53A_R5_SA-15a.03[02],,3,,,,x,,,,,,,,,,,
TDA-06,TDA-06_A13,"the developer of the system, system component or system service is required to follow a documented development process that documents, manages and ensures the integrity of changes to the process and/or tools used in development.",Process,53A_R5_SA-15a.04,,3,,,,x,,,,,,,,,,,
TDA-06,TDA-06_A14,"the developer of the system, system component or system service is required to follow a documented development process in which the development process, standards, tools, tool options and tool configurations are reviewed frequently to determine that the process, standards, tools, tool options and tool configurations selected and employed satisfy security requirements.",Process,53A_R5_SA-15b.[01],,3,at least annually,,,x,,,,,,,,,,,
TDA-06,TDA-06_A15,"the developer of the system, system component or system service is required to follow a documented development process in which the development process, standards, tools, tool options and tool configurations are reviewed frequently to determine that the process, standards, tools, tool options and tool configurations selected and employed satisfy privacy requirements.",Process,53A_R5_SA-15b.[02],,3,at least annually,,,x,,,,,,,,,,,
TDA-06,TDA-06_A16,"the developer of the system, system component or system service is required to demonstrate the use of a system development life cycle process that includes organization-defined system security engineering methods.",Process,"53A_R5_SA-04(03)(a)
53A_R5_SA-04(03)(b)
53A_R5_SA-04(03)(c)",,3,,,,x,,,,,,,,,,,
TDA-06.1,TDA-06.1_A01,decision points in the system development life cycle are defined.,Process,53A_R5_SA-15(03)_ODP[01],,1,,,,x,,,,,,,,,,,
TDA-06.1,TDA-06.1_A02,the breadth of criticality analysis is defined.,Process,53A_R5_SA-15(03)_ODP[02],,1,,,,x,,,,,,,,,,,
TDA-06.1,TDA-06.1_A03,the depth of criticality analysis is defined.,Process,53A_R5_SA-15(03)_ODP[03],,1,,,,x,,,,,,,,,,,
TDA-06.1,TDA-06.1_A04,"the developer of the system, system component, or system service is required to perform a criticality analysis at organization-defined decision points in the system development life cycle.",Process,53A_R5_SA-15(03)(a),,1,,,,x,,,,,,,,,,,
TDA-06.1,TDA-06.1_A05,"the developer of the system, system component, or system service is required to perform a criticality analysis per an organization-defined breadth.",Process,53A_R5_SA-15(03)(b)[01],,1,,,,x,,,,,,,,,,,
TDA-06.1,TDA-06.1_A06,"the developer of the system, system component, or system service is required to perform a criticality analysis per an organization-defined depth.",Process,53A_R5_SA-15(03)(b)[02],,1,,,,x,,,,,,,,,,,
TDA-06.1,TDA-06.1_A07,"suppliers of critical or mission-essential technologies, products and services are identified.",Process,53A_R5_PM-30(01)[01],,1,,,,x,,,,,,,,,,,
TDA-06.1,TDA-06.1_A08,"suppliers of critical or mission-essential technologies, products and services are prioritized.",Process,53A_R5_PM-30(01)[02],,1,,,,x,,,,,,,,,,,
TDA-06.1,TDA-06.1_A09,"suppliers of critical or mission-essential technologies, products and services are assessed.",Process,53A_R5_PM-30(01)[03],,1,,,,x,,,,,,,,,,,
TDA-06.2,TDA-06.2_A01,threat modelling and other secure design techniques are used to ensure that threats to software and solutions are identified and accounted for.,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-06.3,TDA-06.3_A01,"a Software Assurance Maturity Model (SAMM) governs a secure development lifecycle for the development of systems, applications and services.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-06.4,TDA-06.4_A01,"a supporting toolchain helps ensure the accuracy, consistency and comprehensiveness of secure practices throughout the asset's lifecycle.",Technology,SCF Created,,1,,,,,,,,,,,,,,,
TDA-06.5,TDA-06.5_A01,an independent review of the software design confirms that all cybersecurity / data privacy requirements are met and that any identified risks are satisfactorily addressed.,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-06.6,TDA-06.6_A01,software design processes include conducting Root Cause Analysis (RCA) to identify the underlying causes of issues or failures.,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-06.6,TDA-06.6_A02,software design processes include developing actions to address the root cause of the issue or failure.,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-06.6,TDA-06.6_A03,software design processes include implementing the actions and monitor the implementation for effectiveness.,Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-07,TDA-07_A01,"system pre-production environments are protected commensurate with risk throughout the system development life cycle for the system, system component or system service.",Technology,53A_R5_SA-03(01),,1,,,,x,,,,,,,,,,,
TDA-08,TDA-08_A01,changes to the system are analyzed in a separate test environment before implementation in an operational environment.,Process,53A_R5_CM-04(01)[01],,1,,,,x,,,,,,,,,,,
TDA-08,TDA-08_A02,changes to the system are analyzed for cybersecurity / data privacy impacts due to flaws.,Process,"53A_R5_CM-04(01)[02]
53A_R5_CM-04(01)[03]",,1,,,,x,,,,,,,,,,,
TDA-08,TDA-08_A03,changes to the system are analyzed for cybersecurity / data privacy impacts due to weaknesses.,Process,"53A_R5_CM-04(01)[04]
53A_R5_CM-04(01)[05]",,1,,,,x,,,,,,,,,,,
TDA-08,TDA-08_A04,changes to the system are analyzed for cybersecurity / data privacy impacts due to incompatibility.,Process,"53A_R5_CM-04(01)[06]
53A_R5_CM-04(01)[07]",,1,,,,x,,,,,,,,,,,
TDA-08,TDA-08_A05,changes to the system are analyzed for cybersecurity / data privacy impacts due to intentional malice.,Process,"53A_R5_CM-04(01)[08]
53A_R5_CM-04(01)[09]",,1,,,,x,,,,,,,,,,,
TDA-08.1,TDA-08.1_A01,"secure migration practices purge systems, applications and services of test/development/staging data and accounts before it is migrated into a production environment.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-09,TDA-09_A01,"the developer of the system, system component or system service is required to demonstrate the use of a system development life cycle process that includes organization-defined system security engineering methods.",Process,"53A_R5_SA-04(03)(a)
53A_R5_SA-04(03)(b)
53A_R5_SA-04(03)(c)",,1,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A02,"the developer of the system, system component or system service is required to perform attack surface reviews.",Process,53A_R5_SA-11(06),,1,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A03,the breadth of testing and evaluation of required controls is defined.,Process,"53A_R5_SA-11(07)_ODP[01]
53A_R5_SA-11_ODP[03]
53A_R5_SA-11_ODP[01]",,1,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A04,the depth of testing and evaluation of required controls is defined.,Process,"53A_R5_SA-11(07)_ODP[02]
53A_R5_SA-11_ODP[03]
53A_R5_SA-11_ODP[01]",,1,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A05,frequency at which to conduct testing/evaluation is defined.,Process,"53A_R5_SA-11_ODP[02]
53A_R5_SA-11_ODP[01]",,1,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A06,"the developer of the system, system component or system service is required at all post-design stages of the system development life cycle to develop a plan for ongoing security assessments.",Process,53A_R5_SA-11a.[01],,3,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A07,"the developer of the system, system component or system service is required at all post-design stages of the system development life cycle to implement a plan for ongoing security assessments.",Process,53A_R5_SA-11a.[02],,3,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A08,"the developer of the system, system component or system service is required at all post-design stages of the system development life cycle to develop a plan for privacy assessments.",Process,53A_R5_SA-11a.[03],,3,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A09,"the developer of the system, system component or system service is required at all post-design stages of the system development life cycle to implement a plan for ongoing privacy assessments.",Process,53A_R5_SA-11a.[04],,3,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A10,"the developer of the system, system component or system service is required at all post-design stages of the system development life cycle to perform testing/evaluation frequency to conduct at depth and coverage.",Process,53A_R5_SA-11b.,,3,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A11,"the developer of the system, system component or system service is required at all post-design stages of the system development life cycle to produce evidence of the execution of the assessment plan.",Process,53A_R5_SA-11c.[01],,3,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A12,"the developer of the system, system component or system service is required at all post-design stages of the system development life cycle to produce the results of the testing and evaluation.",Process,53A_R5_SA-11c.[02],,3,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A13,"the developer of the system, system component or system service is required at all post-design stages of the system development life cycle to implement a verifiable flaw remediation process.",Process,53A_R5_SA-11d.,,3,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A14,"the developer of the system, system component or system service is required at all post-design stages of the system development life cycle to correct flaws identified during testing and evaluation.",Process,53A_R5_SA-11e.,,3,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A15,"the developer of the system, system component, or system service is required to verify that the scope of testing and evaluation provides complete coverage of the required controls per an organization-defined breadth.",Process,53A_R5_SA-11(07)[01],,3,,,,x,,,,,,,,,,,
TDA-09,TDA-09_A16,"the developer of the system, system component, or system service is required to verify that the scope of testing and evaluation provides complete coverage of the required controls per an organization-defined depth.",Process,53A_R5_SA-11(07)[02],,3,,,,x,,,,,,,,,,,
TDA-09.1,TDA-09.1_A01,"the developer of the system, system component or system service is required to produce a plan for the continuous monitoring of control effectiveness that is consistent with the continuous monitoring program of the organization.",Process,53A_R5_SA-04(08),,1,,,,x,,,,,,,,,,,
TDA-09.2,TDA-09.2_A01,"the developer of the system, system component or system service is required to employ static code analysis tools to identify common flaws.",Process,53A_R5_SA-11(01)[01],,1,,,,x,,,,,,,,,,,
TDA-09.2,TDA-09.2_A02,"the developer of the system, system component or system service is required to employ static code analysis tools to document the results of the analysis.",Process,53A_R5_SA-11(01)[02],,1,,,,x,,,,,,,,,,,
TDA-09.3,TDA-09.3_A01,"the developer of the system, system component or system service is required to employ dynamic code analysis tools to identify common flaws.",Process,53A_R5_SA-11(08)[01],,1,,,,x,,,,,,,,,,,
TDA-09.3,TDA-09.3_A02,"the developer of the system, system component or system service is required to document the results of the analysis.",Process,53A_R5_SA-11(08)[02],,1,,,,x,,,,,,,,,,,
TDA-09.4,TDA-09.4_A01,"the developer of the system, system component, or system service is required to perform testing to ensure it continues to operate as intended when subject to invalid or unexpected inputs on its interfaces.",Process,SCF Created,,1,,,,,,,,,,,,,,,
TDA-09.5,TDA-09.5_A01,"the developer of the system, system component, or system service is required to perform penetration testing per an organization-defined breadth.",Process,53A_R5_SA-11(05)(a)[01],,1,,,,x,,,,,,,,,,,
TDA-09.5,TDA-09.5_A02,"the developer of the system, system component, or system service is required to perform penetration testing per an organization-defined depth.",Process,53A_R5_SA-11(05)(a)[02],,1,,,,x,,,,,,,,,,,
TDA-09.5,TDA-09.5_A03,"the developer of the system, system component, or system service is required to perform penetration testing under organization-defined constraints.",Process,53A_R5_SA-11(05)(b),,1,,,,x,,,,,,,,,,,
TDA-09.5,TDA-09.5_A04,"the developer of the system, system component or system service is required to perform attack surface reviews.",Process,53A_R5_SA-11(06),,1,,,,x,,,,,,,,,,,
